Stages_Data,,,,,,,
English,,,,,,,
Time,Miles,MPH,Watts,HR,RPM,Resistance,Relative Resistance
0:00,0,14.22,75,0,83,9,38
0:01,0.005,14.22,75,0,83,9,38
0:02,0.0099,14.22,75,0,83,9,38
0:03,0.0149,14.22,75,0,83,9,38
0:04,0.0193,14.22,75,0,83,9,38
0:05,0.0236,14.22,75,0,81,9,38
0:06,0.0267,13.88,39,0,81,9,38
0:07,0.0304,14.05,40,0,82,9,38
0:08,0.0348,14.05,41,0,83,9,38
0:09,0.0379,14.22,41,0,83,9,38
0:10,0.0423,14.22,41,0,83,9,38
0:11,0.0466,14.22,41,0,83,9,38
0:12,0.0491,14.22,41,0,83,9,38
0:13,0.0534,14.22,41,0,83,9,38
0:14,0.0578,14.22,41,0,83,9,38
0:15,0.0621,14.4,42,0,84,9,38
0:16,0.0652,14.4,42,0,84,9,38
0:17,0.0696,14.4,43,0,85,9,38
0:18,0.0739,14.56,42,0,84,9,38
0:19,0.0764,14.4,42,0,84,9,38
0:20,0.0808,14.56,44,0,86,9,38
0:21,0.0845,14.73,45,0,87,9,38
0:22,0.0889,14.91,44,0,86,9,38
0:23,0.092,14.73,44,0,86,9,38
0:24,0.0963,14.56,43,0,85,9,38
0:25,0.1007,14.56,43,0,85,9,38
0:26,0.1038,14.56,43,0,85,9,38
0:27,0.1075,14.73,44,0,86,9,38
0:28,0.1125,14.73,44,0,86,9,38
0:29,0.115,14.73,44,0,86,9,38
0:30,0.1199,14.73,44,0,86,9,38
0:31,0.1243,14.73,44,0,86,9,38
0:32,0.1286,14.73,44,0,86,9,38
0:33,0.1317,14.73,44,0,86,9,38
0:34,0.1361,14.73,44,0,86,9,38
0:35,0.1411,14.73,44,0,86,9,38
0:36,0.1442,14.73,44,0,86,9,38
0:37,0.1485,14.73,45,0,87,9,38
0:38,0.1529,14.91,45,0,87,9,38
0:39,0.1578,14.91,45,0,87,9,38
0:40,0.1603,14.91,45,0,87,9,38
0:41,0.1647,14.73,44,0,86,9,38
0:42,0.1696,14.73,44,0,86,9,38
0:43,0.1721,14.73,44,0,86,9,38
0:44,0.1771,14.73,44,0,86,9,38
0:45,0.1814,14.73,44,0,86,9,38
0:46,0.1858,14.73,44,0,86,9,38
0:47,0.1889,14.73,44,0,86,9,38
0:48,0.1932,14.56,43,0,85,9,38
0:49,0.1982,14.56,43,0,85,9,38
0:50,0.2007,14.56,43,0,85,9,38
0:51,0.2057,14.56,43,0,85,9,38
0:52,0.21,14.56,43,0,85,9,38
0:53,0.2144,14.56,43,0,85,9,38
0:54,0.2175,14.56,42,0,84,9,38
0:55,0.2212,14.4,42,0,84,9,38
0:56,0.2262,14.4,42,0,84,9,38
0:57,0.2287,14.4,42,0,84,9,38
0:58,0.233,14.56,43,0,85,9,38
0:59,0.2374,14.56,43,0,85,9,38
1:00,0.2423,14.73,44,0,86,9,38
1:01,0.2448,14.73,45,0,87,9,38
1:02,0.2492,14.91,45,0,87,9,38
1:03,0.2535,14.91,46,0,88,9,38
1:04,0.2566,15.07,46,0,88,9,38
1:05,0.261,15.07,46,0,89,9,38
1:06,0.2659,15.25,46,0,89,9,38
1:07,0.2691,15.25,46,0,89,9,38
1:08,0.2734,15.25,46,0,89,9,38
1:09,0.2784,15.25,47,0,90,9,38
1:10,0.2827,15.42,47,0,90,9,38
1:11,0.2858,15.42,47,0,90,9,38
1:12,0.2908,15.42,48,0,91,9,38
1:13,0.2952,15.58,47,0,90,9,38
1:14,0.2983,15.42,47,0,90,9,38
1:15,0.3032,15.42,47,0,90,9,38
1:16,0.3076,15.42,47,0,90,9,38
1:17,0.3107,15.42,47,0,90,9,38
1:18,0.3157,15.42,47,0,90,9,38
1:19,0.32,15.25,46,0,89,9,38
1:20,0.3231,15.25,46,0,89,9,38
1:21,0.3281,15.25,46,0,89,9,38
1:22,0.3324,15.25,46,0,89,9,38
1:23,0.3374,15.25,46,0,89,9,38
1:24,0.3405,15.25,46,0,89,9,38
1:25,0.3449,15.25,46,0,89,9,38
1:26,0.3498,15.25,46,0,89,9,38
1:27,0.3529,15.25,46,0,89,9,38
1:28,0.3579,15.25,46,0,89,9,38
1:29,0.3623,15.07,46,0,88,9,38
1:30,0.3647,14.91,45,0,87,9,38
1:31,0.3691,14.91,44,0,86,9,38
1:32,0.3728,14.73,43,0,85,9,38
1:33,0.3778,14.56,43,0,85,9,38
1:34,0.3803,14.4,42,0,84,9,38
1:35,0.3846,14.4,42,0,84,9,38
1:36,0.3884,14.56,43,0,85,9,38
1:37,0.3915,14.56,43,0,85,9,38
1:38,0.3958,14.56,43,0,85,9,38
1:39,0.4002,14.56,43,0,85,9,38
1:40,0.4033,14.56,43,0,85,9,38
1:41,0.4076,14.56,43,0,85,9,38
1:42,0.4126,14.56,43,0,85,9,38
1:43,0.4169,14.56,43,0,85,9,38
1:44,0.42,14.56,43,0,85,9,38
1:45,0.4244,14.56,43,0,85,9,38
1:46,0.4287,14.56,43,0,85,9,38
1:47,0.4312,14.4,42,0,84,9,38
1:48,0.4362,14.4,42,0,84,9,38
1:49,0.4406,14.4,42,0,84,9,38
1:50,0.4437,14.4,43,0,85,9,38
1:51,0.4474,14.56,44,0,86,9,38
1:52,0.4517,14.73,44,0,86,9,38
1:53,0.4561,14.73,44,0,86,9,38
1:54,0.4592,14.73,44,0,86,9,38
1:55,0.4642,14.73,44,0,86,9,38
1:56,0.4685,14.73,44,0,86,9,38
1:57,0.4716,14.91,45,0,87,9,38
1:58,0.4753,14.73,44,0,86,9,38
1:59,0.4797,14.73,43,0,85,9,38
2:00,0.4828,14.56,43,0,85,9,38
2:01,0.4872,14.56,43,0,85,9,38
2:02,0.4915,14.4,42,0,84,9,38
2:03,0.4952,14.4,41,0,83,9,38
2:04,0.4983,14.22,41,0,83,9,38
2:05,0.5021,14.05,40,0,82,9,38
2:06,0.5064,14.05,40,0,82,9,38
2:07,0.5095,14.05,40,0,82,9,38
2:08,0.5139,14.05,40,0,82,9,38
2:09,0.5182,14.05,40,0,82,9,38
2:10,0.522,14.05,41,0,83,9,38
2:11,0.5251,14.22,41,0,83,9,38
2:12,0.5294,14.22,42,0,84,9,38
2:13,0.5338,14.4,42,0,84,9,38
2:14,0.5362,14.22,41,0,83,9,38
2:15,0.5406,14.22,41,0,83,9,38
2:16,0.5449,14.22,41,0,83,9,38
2:17,0.5474,14.22,41,0,83,9,38
2:18,0.5518,14.4,42,0,84,9,38
2:19,0.5561,14.73,44,0,86,9,38
2:20,0.5592,14.73,44,0,86,9,38
2:21,0.5636,14.73,45,0,87,9,38
2:22,0.5679,14.91,45,0,87,9,38
2:23,0.5723,14.91,45,0,87,9,38
2:24,0.5754,14.91,46,0,88,9,38
2:25,0.5791,15.07,46,0,89,9,38
